0; 20; 9; 133; 3.386626; 0.350174
1; 7; 5; 255; 3.525094; 0.315501
2; 75; 42; 3; 3.420961; 0.343520
3; 3; 94; 23; 3.439346; 0.360656
4; 4; 604; 5; 3.474645; 0.351558
5; 5; 53; 61; 3.461349; 0.347024
6; 5; 14; 491; 3.433835; 0.358692
7; 30; 332; 4; 3.416620; 0.348545
8; 18; 627; 4; 3.395909; 0.325956
9; 152; 26; 4; 3.388004; 0.345938
10; 198; 11; 14; 3.412441; 0.325994
11; 4; 364; 25; 3.489789; 0.315433
12; 227; 9; 13; 3.438860; 0.338057
13; 3; 28; 453; 3.417502; 0.328450
14; 303; 14; 11; 3.405546; 0.317907
15; 7; 4; 609; 3.386688; 0.330342
16; 53; 208; 4; 3.409826; 0.316881
17; 284; 10; 17; 3.411421; 0.334395
18; 562; 2; 7; 3.425464; 0.356021
19; 38; 2; 324; 3.407006; 0.335313
20; 25; 14; 11; 3.415546; 0.335854
21; 82; 11; 8; 3.422321; 0.329661
22; 5; 15; 626; 3.393006; 0.361958
23; 2; 14; 985; 3.418004; 0.319800
24; 11; 654; 4; 3.447595; 0.334633
25; 50; 28; 24; 3.519316; 0.336999
26; 749; 18; 3; 3.435100; 0.344999
27; 42; 7; 114; 3.418294; 0.331648
28; 3; 44; 125; 3.441272; 0.357690
29; 34; 13; 113; 3.379189; 0.318531
30; 3; 205; 79; 3.375981; 0.338201
31; 118; 11; 4; 3.440180; 0.320710
32; 3; 124; 129; 3.420964; 0.320979
33; 8; 535; 8; 3.377863; 0.345243
34; 583; 12; 5; 3.403608; 0.328812
35; 12; 9; 208; 3.408254; 0.348246
36; 25; 71; 2; 3.407021; 0.331808
37; 146; 13; 16; 3.460739; 0.336827
38; 4; 30; 327; 3.437067; 0.351286
39; 4; 40; 52; 3.437995; 0.352156
40; 186; 20; 5; 3.461912; 0.349514
41; 83; 17; 24; 3.398874; 0.315414
42; 23; 37; 58; 3.425642; 0.327326
43; 3; 9; 434; 3.431458; 0.340529
44; 15; 199; 13; 3.364926; 0.347283
45; 4; 40; 164; 3.414917; 0.348352
46; 4; 52; 224; 3.351883; 0.345997
47; 7; 6; 204; 3.394197; 0.336000
48; 9; 796; 5; 3.411469; 0.316740
49; 496; 4; 25; 3.475292; 0.343106
50; 30; 11; 29; 3.441323; 0.329284
51; 674; 19; 2; 3.443498; 0.334257
52; 2; 3; 578; 3.424494; 0.319789
53; 521; 2; 2; 3.339461; 0.348352
54; 619; 5; 4; 3.477595; 0.354605
55; 5; 420; 11; 3.527665; 0.396501
56; 9; 468; 5; 3.507761; 0.347610
57; 114; 181; 2; 3.406213; 0.334211
58; 584; 6; 3; 3.384738; 0.354813
59; 2; 56; 361; 3.487335; 0.372465
60; 59; 343; 2; 3.515465; 0.461399
61; 379; 5; 14; 3.498647; 0.412660
62; 7; 529; 6; 3.615060; 0.458774
63; 2; 116; 49; 3.515478; 0.394479
64; 24; 8; 166; 3.294764; 0.390709
65; 2; 183; 125; 3.374014; 0.363992
66; 205; 78; 2; 3.284287; 0.385966
67; 176; 11; 17; 3.342628; 0.355248
68; 58; 62; 12; 3.528192; 0.372762
69; 10; 628; 7; 3.575084; 0.505549
70; 13; 731; 5; 3.566267; 0.389277
71; 4; 122; 32; 3.321940; 0.357045
72; 367; 2; 64; 3.389659; 0.363870
73; 38; 134; 9; 3.373750; 0.353268
74; 23; 5; 167; 3.409298; 0.336006
75; 21; 21; 43; 3.317598; 0.364587
76; 28; 14; 2; 3.341123; 0.374300
77; 8; 16; 135; 3.375022; 0.359252
78; 20; 4; 55; 3.287253; 0.366688
79; 6; 821; 9; 3.425941; 0.368108
80; 3; 781; 10; 3.294480; 0.341782
81; 537; 8; 6; 3.478430; 0.354854
82; 69; 6; 59; 3.420548; 0.353999
83; 86; 5; 17; 3.386242; 0.341005
84; 13; 16; 218; 3.376785; 0.345948
85; 18; 9; 57; 3.406769; 0.349988
86; 3; 96; 96; 3.418775; 0.356591
87; 2; 257; 13; 3.374286; 0.350166
88; 143; 3; 61; 3.391907; 0.356819
89; 143; 5; 64; 3.386115; 0.361254
90; 17; 10; 26; 3.298081; 0.351178
91; 17; 9; 315; 3.411159; 0.362651
92; 22; 2; 192; 3.420615; 0.362023
93; 32; 15; 30; 3.414801; 0.364134
94; 3; 320; 33; 3.333549; 0.357982
95; 9; 19; 275; 3.399276; 0.358321
96; 30; 204; 6; 3.400072; 0.364850
97; 2; 366; 11; 3.421612; 0.365607
98; 13; 22; 42; 3.400171; 0.361782
99; 5; 141; 39; 3.450110; 0.356392
100; 117; 2; 107; 3.404057; 0.365905
101; 17; 16; 149; 3.434360; 0.349437
102; 12; 4; 797; 3.414781; 0.341151
103; 8; 69; 23; 3.281971; 0.372861
104; 10; 880; 4; 3.271178; 0.353994
105; 62; 7; 42; 3.393312; 0.336339
106; 82; 72; 6; 3.344359; 0.356778
107; 38; 5; 137; 3.333600; 0.351400
108; 47; 2; 238; 3.354628; 0.348410
109; 148; 79; 2; 3.313662; 0.352035
110; 50; 2; 388; 3.385288; 0.337850
111; 118; 91; 2; 3.400954; 0.373112
112; 156; 12; 11; 3.444238; 0.362897
113; 349; 11; 11; 3.423825; 0.367939
114; 112; 2; 149; 3.333848; 0.347175
115; 42; 5; 76; 3.399446; 0.357325
