35.29	11	-15.5	0.5
46.15	5.9	-20.5	0.5
23.35	6.9	1.3	0.5
29.86	-10.1	-12.7	0.5
43.98	1.8	-10.3	0.5
-4.89	-7.8	-11	0.5
37.47	4.8	-8.3	0.5
-28.78	5.9	-12.8	0.5
22.26	5.7	-8.9	0.5
36.38	3.4	-13.6	0.5
-0.54	0.2	5.9	0
-26.61	11.5	11.3	0.5
10.32	9	-0.2	0
40.72	-0.7	-18.6	0
-36.38	-4	15	0.5
-42.9	-6	15.1	1
8.14	-14.4	1.6	0.5
-54.84	1	3.1	1
-36.38	-5.6	7	0.5
-21.18	4.6	-7.4	0.5
-32.04	-0.1	6.3	0
14.66	-15.9	-0.8	0.5
-34.21	6.3	2.2	0.5
12.49	4.3	8.5	0
-47.24	-1.2	9.3	0.5
-48.33	-3.9	11.5	1
28.78	-13.4	-12.3	0.5
29.86	-10	0.7	0
39.64	3.4	-4.5	0.5
-43.98	-2.8	7.5	1
-48.33	-0.8	-4.5	1
10.32	2.2	7.1	0
-37.47	3.9	8.1	1
-45.07	10.2	16.6	1
-7.06	-9.1	-13.1	0.5
-1.63	-3.8	-15.2	0.5
-21.18	-3.9	-7.3	1
-3.8	-4.8	-10.6	0.5
-0.54	0	0	0
29.86	-7.9	-1.4	0
-4.89	12.9	-0.4	0.5
3.8	5.1	5.3	0
11.4	-1.4	2.5	0
-52.67	-1.6	6.9	1
-3.8	-7	-14.8	0.5
0.54	3.4	9.2	0
47.24	-1	-7.5	0.5
-51.58	1.8	0	1
-46.15	-1.4	6.8	1
-36.38	6.9	5.8	0.5
50.5	-0.9	-2	0
-30.95	12.3	9.7	0.5
10.32	-0.9	1.5	0
-29.86	-1.8	14.9	0
-23.35	-5.6	14.9	0.5
35.29	0.5	-4.2	0
-38.55	-9.8	14.9	1
-0.54	0	0	0
41.81	-5.6	-4.3	0.5
-0.54	0	-0.9	0
47.24	0.3	-3.1	0.5
13.57	-10.8	-11.3	1
-48.33	2.8	2.5	1
-0.54	-0.7	0.9	0
-12.49	-10.3	-6.6	0.5
-51.58	6.3	14.8	1
-35.29	8.2	13.9	0.5
-38.55	4.7	8.4	0.5
16.83	26.8	18.3	1
-0.54	0	0	0
-49.41	1.1	16.1	0.5
16.83	6.3	5.9	0.5
-0.54	-1.2	-6.1	0
-13.57	-0.2	1.3	0
-0.54	1	7.1	0
47.24	-3.5	-12.4	0
36.38	-7.3	-12.3	0.5
-53.76	-2.6	11.5	1
46.15	-3.5	-9.7	0
-42.9	-0.3	1	1
57.01	-2	-5.1	0.5
-48.33	-0.1	0.6	1
-3.8	12.6	-7	0.5
-8.14	13	-11.7	0.5
28.78	-10.1	-7.4	0.5
-1.63	-3.2	-12.3	0
-40.72	9.6	11.3	0.5
